Response ID,Timestamp (mm/dd/yyyy),Region,You are one step away from reaching the next level in an online game. What would you choose to accelerate your progress towards that goal? ,What approach would you prefer to earn a free smartwatch from the fitness program organized by your community? ,Your favorite restaurant is offering a promotion. Which of the following activities would you choose to do in order to receive the giveaway? ,"When playing board games with your friends, which of the following options best describes your strategy?",You participate in a lottery to win a pair of concert tickets featuring a popular band. What would you do to win the tickets?,"When engaging in a new game for the very first time, which of the following options best reflects your approach to playing?","When looking for a credit card, which of the following factors holds the highest importance to you?","When coordinating an event, what matters most to you?"
134401785,06/06/2024 12:15,PA,1,1,1,2,2,4,3,3
134408271,06/06/2024 13:23,NC,2,3,3,1,1,3,3,2
134408286,06/06/2024 13:23,MD,3,1,1,2,1,4,3,2
134408946,06/06/2024 13:27,CA,3,3,4,2,2,1,3,2
134419285,06/06/2024 14:36,TX,2,3,1,3,2,3,3,2
134419460,06/06/2024 14:38,FL,2,3,1,2,3,1,3,2
134420952,06/06/2024 14:51,SC,1,2,1,2,4,3,3,3
134424217,06/06/2024 15:20,NC,1,3,1,2,4,1,2,4
134427577,06/06/2024 15:56,FL,3,3,1,2,1,1,3,2
134429960,06/06/2024 16:21,FL,1,2,4,3,4,3,3,1
134434693,06/06/2024 17:04,CA,1,3,1,1,4,3,3,4
134443361,06/06/2024 18:25,CA,3,3,3,1,2,1,3,4
134443962,06/06/2024 18:35,MD,1,3,1,1,2,1,3,2
134446100,06/06/2024 19:13,CA,1,3,4,1,1,1,3,1
134446886,06/06/2024 19:27,FL,1,3,1,3,3,3,3,4
134293217,06/05/2024 16:05,GA,1,3,1,1,1,1,3,2
134293527,06/05/2024 16:10,VA,3,3,2,3,1,3,3,4
134294567,06/05/2024 16:28,NY,1,3,3,2,2,3,3,2
134294629,06/05/2024 16:29,TX,2,3,1,2,4,1,3,1
134295498,06/05/2024 16:45,AL,1,3,1,1,1,3,2,2
134295889,06/05/2024 16:52,NH,1,3,1,1,3,1,3,4
134296003,06/05/2024 16:54,OH,2,2,1,2,1,4,3,2
134296097,06/05/2024 16:56,MD,1,3,1,2,2,1,2,3
134296513,06/05/2024 17:05,NY,2,3,3,2,2,1,3,2
134298186,06/05/2024 17:37,MO,2,3,3,1,1,1,3,2
134299231,06/05/2024 17:58,CA,2,2,4,2,4,1,3,4
134299747,06/05/2024 18:08,GA,2,3,1,2,2,1,3,4
134299972,06/05/2024 18:13,MA,1,3,3,1,2,1,3,4
134300602,06/05/2024 18:23,MO,2,4,1,1,1,1,3,2
134301622,06/05/2024 18:43,MD,3,2,3,3,2,3,2,3
134302180,06/05/2024 18:56,CA,2,4,1,1,2,1,3,4
134302506,06/05/2024 19:02,MA,1,3,1,1,2,3,3,2
134302993,06/05/2024 19:14,CA,1,3,4,2,1,1,3,1
134303132,06/05/2024 19:17,UT,3,3,3,3,4,1,3,4
134303626,06/05/2024 19:29,FL,1,3,3,3,2,1,3,2
134303954,06/05/2024 19:37,OR,2,3,3,2,2,3,3,2
134307660,06/05/2024 20:54,MI,1,1,3,2,3,2,2,4
134310024,06/05/2024 22:28,CA,1,3,1,1,2,1,2,2
134310226,06/05/2024 22:39,CA,1,3,4,1,2,1,2,4
134335879,06/06/2024 3:39,TX,2,3,1,1,2,1,3,4
134340738,06/06/2024 4:53,PA,2,3,1,1,2,1,3,2
134348217,06/06/2024 6:00,MI,2,3,1,2,4,1,2,4
134350844,06/06/2024 6:43,OR,1,3,1,2,4,4,3,3
134363284,06/06/2024 7:59,IL,1,3,1,1,2,1,3,3
134373096,06/06/2024 8:31,IN,3,3,4,1,4,1,3,4
134387751,06/06/2024 9:49,FL,2,2,3,1,2,1,3,4
134389358,06/06/2024 10:03,TX,1,3,4,2,1,1,3,2
134391280,06/06/2024 10:16,CA,1,3,1,1,2,1,3,2
134400579,06/06/2024 12:00,TX,2,3,3,1,2,1,3,2
134403488,06/06/2024 12:35,IL,2,1,3,2,1,1,3,2
134417122,06/06/2024 14:17,,2,3,1,1,3,1,3,1
134418020,06/06/2024 14:24,VA,1,2,3,1,2,1,3,2
134418453,06/06/2024 14:29,SD,1,3,1,1,4,3,2,4
134419469,06/06/2024 14:38,IL,3,3,1,2,2,3,3,2
134426392,06/06/2024 15:42,TX,3,3,3,1,3,1,3,4
134432580,06/06/2024 16:49,TX,1,3,4,1,1,1,3,2
134434731,06/06/2024 17:05,PA,2,3,1,3,4,3,3,4
134442542,06/06/2024 18:11,FL,1,1,3,2,4,1,3,2
134442853,06/06/2024 18:16,FL,1,3,1,1,3,1,3,2
134443638,06/06/2024 18:30,ID,1,3,1,1,1,1,3,2
134445152,06/06/2024 18:57,WI,1,3,1,2,4,1,3,2
134448547,06/06/2024 20:01,VA,1,1,1,3,3,3,3,4
