Response ID,Timestamp (mm/dd/yyyy),Region,You are one step away from reaching the next level in an online game. What would you choose to accelerate your progress towards that goal? ,What approach would you prefer to earn a free smartwatch from the fitness program organized by your community? ,Your favorite restaurant is offering a promotion. Which of the following activities would you choose to do in order to receive the giveaway? ,When playing board games with your friends which of the following options best describes your strategy?,You participate in a lottery to win a pair of concert tickets featuring a popular band. What would you do to win the tickets?,When engaging in a new game for the very first time which of the following options best reflects your approach to playing?,When looking for a credit card which of the following factors holds the highest importance to you?,When coordinating an event what matters most to you?
128730597,4/3/2024 8:29,FL,1,3,4,2,2,1,3,2
128730654,4/3/2024 8:30,NY,1,3,4,2,3,1,3,2
128730764,4/3/2024 8:31,IN,1,3,1,2,1,3,3,4
128730934,4/3/2024 8:31,PA,1,3,1,2,4,1,2,2
128731025,4/3/2024 8:32,FL,2,2,3,1,4,1,3,2
128731100,4/3/2024 8:32,CA,1,3,4,2,2,1,2,3
128731126,4/3/2024 8:32,CA,2,1,3,3,4,1,3,4
128731128,4/3/2024 8:32,MI,1,3,1,1,1,1,3,2
128731129,4/3/2024 8:32,TN,1,3,4,3,3,1,2,2
128731138,4/3/2024 8:32,IL,1,3,1,1,4,1,3,4
128731169,4/3/2024 8:32,SC,1,1,1,2,2,2,3,2
128731173,4/3/2024 8:32,FL,1,1,1,1,4,1,3,2
128731181,4/3/2024 8:32,FL,1,2,1,1,4,1,3,2
128731184,4/3/2024 8:32,MN,1,3,4,1,3,1,2,2
128731190,4/3/2024 8:32,KY,1,3,4,2,1,1,3,4
128731192,4/3/2024 8:32,PA,1,3,4,1,2,1,3,2
128731205,4/3/2024 8:32,IN,1,3,3,3,4,1,3,1
128731211,4/3/2024 8:33,SD,3,3,1,1,3,1,3,4
128731235,4/3/2024 8:33,TX,1,3,1,1,1,2,3,2
128731371,4/3/2024 8:33,SC,1,3,3,2,3,1,3,2
128731465,4/3/2024 8:34,MA,1,3,1,1,4,1,2,4
128731479,4/3/2024 8:34,WI,1,3,4,2,2,1,3,2
128731487,4/3/2024 8:34,,1,3,1,3,4,1,3,2
128731502,4/3/2024 8:34,NY,1,3,1,3,2,3,3,4
128731601,4/3/2024 8:35,SC,2,1,1,1,1,1,2,4
128731611,4/3/2024 8:35,AL,3,3,2,1,1,3,2,4
128731709,4/3/2024 8:36,MI,1,3,3,2,2,1,3,2
128731720,4/3/2024 8:36,SD,3,3,4,2,1,1,2,2
128731745,4/3/2024 8:36,MD,1,3,3,2,4,1,3,4
128731918,4/3/2024 8:38,AL,1,3,3,3,2,1,3,4
128731974,4/3/2024 8:38,FL,3,3,2,2,2,1,2,4
128732004,4/3/2024 8:38,FL,1,3,2,2,4,2,3,2
128732006,4/3/2024 8:38,CA,2,3,1,1,4,1,2,2
128732036,4/3/2024 8:38,ID,1,3,4,2,1,1,3,4
128732037,4/3/2024 8:38,ID,2,3,1,1,2,1,3,4
128732106,4/3/2024 8:39,IN,3,3,1,3,4,1,3,2
128732119,4/3/2024 8:39,FL,1,3,4,3,4,1,3,4
128732161,4/3/2024 8:39,NH,1,3,3,1,2,1,3,2
128732170,4/3/2024 8:39,LA,1,3,3,3,2,3,3,4
128732201,4/3/2024 8:40,KY,3,4,1,1,1,1,3,4
128732217,4/3/2024 8:40,NC,2,3,1,3,4,1,3,2
128732251,4/3/2024 8:40,FL,2,3,3,2,2,4,3,4
128732260,4/3/2024 8:40,CA,1,1,3,2,3,1,3,3
128732274,4/3/2024 8:40,NY,1,3,4,1,1,1,3,4
128732283,4/3/2024 8:40,PA,1,3,4,1,1,1,3,2
128732436,4/3/2024 8:41,VA,1,3,1,1,1,1,3,2
128732456,4/3/2024 8:41,IN,1,3,4,2,2,1,3,2
128732475,4/3/2024 8:41,NY,2,3,1,1,4,1,3,4
128732476,4/3/2024 8:41,,4,3,3,3,2,3,3,4
128732489,4/3/2024 8:42,,3,1,1,2,1,2,3,1
128732559,4/3/2024 8:42,MD,3,1,4,1,2,1,3,2
128732583,4/3/2024 8:42,PA,1,2,2,2,2,1,3,3
128732586,4/3/2024 8:42,NY,1,3,2,1,1,1,3,2
128732590,4/3/2024 8:42,IN,1,1,4,3,2,1,3,2
128732663,4/3/2024 8:43,CO,2,3,3,3,2,1,3,4
128732675,4/3/2024 8:43,OH,3,1,1,2,1,1,3,2
128732678,4/3/2024 8:43,TX,1,3,3,1,4,3,3,2
128732730,4/3/2024 8:43,,1,3,1,1,2,1,3,4
128732741,4/3/2024 8:43,WI,1,3,4,2,1,3,3,4
128732762,4/3/2024 8:43,ID,1,3,4,1,4,1,3,4
128732763,4/3/2024 8:43,MA,1,1,3,2,2,4,3,2
128732793,4/3/2024 8:44,NY,1,2,1,1,1,1,2,2
128732795,4/3/2024 8:44,WA,3,3,4,2,2,4,3,3
128732822,4/3/2024 8:44,FL,3,3,4,3,2,3,3,1
128732823,4/3/2024 8:44,KY,1,3,2,3,1,1,3,4
128732830,4/3/2024 8:44,OR,1,3,3,1,2,1,3,4
128732928,4/3/2024 8:45,CA,2,3,2,2,2,2,2,3
128732972,4/3/2024 8:45,AZ,1,1,1,1,4,1,3,2
128732990,4/3/2024 8:45,MN,3,3,3,2,1,1,3,2
128733015,4/3/2024 8:45,FL,1,4,3,2,4,1,3,1
128733025,4/3/2024 8:46,VT,2,3,3,1,2,1,3,4
128733040,4/3/2024 8:46,NV,1,3,1,2,4,1,3,4
128733045,4/3/2024 8:46,FL,1,3,4,3,2,1,3,2
128733067,4/3/2024 8:46,FL,1,3,1,1,2,1,3,4
128733074,4/3/2024 8:46,MD,1,3,3,1,4,1,3,4
128733102,4/3/2024 8:46,ME,1,3,3,4,2,1,4,2
128733106,4/3/2024 8:46,OH,1,3,1,1,2,1,3,2
128733112,4/3/2024 8:46,OR,2,3,3,2,2,1,3,2
128733119,4/3/2024 8:46,MD,1,3,1,1,2,1,3,2
128733120,4/3/2024 8:46,MN,3,3,1,3,1,1,3,2
128733147,4/3/2024 8:46,OK,1,3,1,1,2,1,3,2
128733160,4/3/2024 8:46,CO,1,3,3,3,1,1,2,4
128733162,4/3/2024 8:46,MO,3,3,1,1,4,4,3,2
128733170,4/3/2024 8:47,FL,1,3,1,2,1,3,3,4
128733204,4/3/2024 8:47,PA,1,3,3,2,1,1,3,4
128733239,4/3/2024 8:47,DE,1,3,1,3,2,1,3,4
128733268,4/3/2024 8:47,CA,1,3,3,1,2,3,3,4
128733272,4/3/2024 8:47,AL,1,3,1,1,1,1,2,2
128733293,4/3/2024 8:47,TX,3,3,1,1,3,1,3,4
128733341,4/3/2024 8:48,OH,1,3,3,2,1,1,3,2
128733355,4/3/2024 8:48,OK,1,3,1,1,2,1,3,1
128733361,4/3/2024 8:48,,2,3,4,2,2,1,3,4
128733382,4/3/2024 8:48,FL,2,3,3,2,4,3,3,2
128733680,4/3/2024 8:50,NJ,1,3,1,1,2,1,3,2
128733700,4/3/2024 8:50,TX,2,3,1,1,1,1,3,4
128733897,4/3/2024 8:52,CA,1,1,1,2,1,1,3,4
128733957,4/3/2024 8:52,WI,2,3,4,1,2,1,3,3
128734418,4/3/2024 8:55,FL,2,3,3,1,2,3,3,4
128739141,4/3/2024 9:30,,2,3,4,1,2,4,3,4
