Response ID,Timestamp (mm/dd/yyyy),Region,You are one step away from reaching the next level in an online game. What would you choose to accelerate your progress towards that goal? ,What approach would you prefer to earn a free smartwatch from the fitness program organized by your community? ,Your favorite restaurant is offering a promotion. Which of the following activities would you choose to do in order to receive the giveaway? ,When playing board games with your friends which of the following options best describes your strategy?,You participate in a lottery to win a pair of concert tickets featuring a popular band. What would you do to win the tickets?,When engaging in a new game for the very first time which of the following options best reflects your approach to playing?,When looking for a credit card which of the following factors holds the highest importance to you?,When coordinating an event what matters most to you?
128762824,4/3/2024 12:41,WI,3,3,4,1,1,1,3,2
128762884,4/3/2024 12:42,AL,1,3,1,3,2,3,3,4
128762889,4/3/2024 12:42,AZ,1,3,1,1,1,1,3,4
128762948,4/3/2024 12:42,TX,1,3,1,1,1,1,2,2
128762991,4/3/2024 12:43,IL,1,3,4,2,2,4,3,4
128762995,4/3/2024 12:43,OR,1,3,4,2,3,4,3,2
128762998,4/3/2024 12:43,TX,1,3,3,1,2,1,3,4
128763005,4/3/2024 12:43,MN,1,3,3,2,2,1,3,2
128763006,4/3/2024 12:43,OR,1,1,1,2,1,4,3,2
128763012,4/3/2024 12:43,AZ,1,3,1,1,1,1,3,1
128763019,4/3/2024 12:43,MI,1,3,1,3,4,3,3,2
128763021,4/3/2024 12:43,NY,2,3,3,1,4,1,2,3
128763063,4/3/2024 12:43,OH,1,1,1,2,2,1,3,2
128763072,4/3/2024 12:43,TN,1,3,3,2,2,1,3,4
128763083,4/3/2024 12:43,IA,2,3,3,3,4,1,3,4
128763132,4/3/2024 12:44,NJ,3,3,1,2,3,4,3,2
128763342,4/3/2024 12:44,MI,3,3,1,1,3,4,3,2
128763403,4/3/2024 12:45,PA,3,3,3,1,1,1,3,2
128763438,4/3/2024 12:45,NY,2,3,1,1,2,1,3,4
128763463,4/3/2024 12:45,MI,2,3,3,3,4,1,3,4
128763470,4/3/2024 12:46,OH,2,3,3,2,1,1,3,4
128763549,4/3/2024 12:46,OH,3,3,4,2,2,3,3,2
128763550,4/3/2024 12:46,CA,3,3,4,1,1,2,3,2
128763582,4/3/2024 12:46,NC,1,3,3,1,1,1,3,4
128763608,4/3/2024 12:47,MO,2,3,4,1,1,1,3,3
128763648,4/3/2024 12:47,CT,1,3,3,1,2,1,3,3
128763649,4/3/2024 12:47,WA,1,1,1,1,4,3,3,3
128763671,4/3/2024 12:47,NJ,1,3,3,1,1,1,3,4
128763706,4/3/2024 12:47,CA,2,3,1,1,1,1,3,2
128763710,4/3/2024 12:47,MN,1,2,3,1,4,1,3,4
128763751,4/3/2024 12:48,OH,1,1,1,1,4,1,3,4
128763846,4/3/2024 12:48,PA,1,1,1,2,2,1,3,2
128763883,4/3/2024 12:49,PA,1,3,4,1,2,1,3,2
128763902,4/3/2024 12:49,NC,3,3,4,1,2,4,3,4
128763908,4/3/2024 12:49,,2,2,1,2,2,1,3,4
128763912,4/3/2024 12:49,CO,2,3,4,1,3,1,3,4
128763943,4/3/2024 12:49,NY,2,3,4,1,4,1,2,4
128763964,4/3/2024 12:49,MD,3,3,1,2,1,4,3,2
128764015,4/3/2024 12:50,WA,1,3,3,2,3,1,3,2
128764022,4/3/2024 12:50,SC,2,3,1,2,3,2,3,2
128764030,4/3/2024 12:50,FL,1,1,3,1,1,1,3,2
128764061,4/3/2024 12:50,PA,1,3,3,1,2,3,3,2
128764082,4/3/2024 12:50,TN,2,3,2,1,4,1,3,1
128764114,4/3/2024 12:51,PA,1,3,3,1,4,1,2,2
128764125,4/3/2024 12:51,TX,2,3,1,3,4,1,3,1
128764178,4/3/2024 12:51,CA,1,3,1,2,1,1,3,4
128764194,4/3/2024 12:51,VA,2,3,1,1,2,2,3,4
128764243,4/3/2024 12:52,MD,3,3,4,1,2,1,3,4
128764246,4/3/2024 12:52,TX,2,3,3,1,4,1,3,3
128764263,4/3/2024 12:52,CA,1,3,4,2,4,1,3,2
128764300,4/3/2024 12:52,OR,1,1,1,1,3,1,3,3
128764305,4/3/2024 12:52,TX,1,3,1,2,4,1,3,4
128764323,4/3/2024 12:52,NH,1,3,1,2,3,1,3,4
128764337,4/3/2024 12:53,IN,1,1,4,2,3,3,2,4
128764379,4/3/2024 12:53,FL,2,3,3,2,4,1,3,2
128764398,4/3/2024 12:53,VA,1,3,3,1,4,1,3,2
128764497,4/3/2024 12:54,IN,1,3,1,3,4,3,3,4
128764469,4/3/2024 12:54,CA,1,1,4,1,2,1,3,2
128764470,4/3/2024 12:54,NJ,3,3,1,3,3,1,3,4
128764533,4/3/2024 12:54,MN,1,3,1,3,3,1,3,4
128764540,4/3/2024 12:54,FL,1,3,2,3,4,1,3,4
128764556,4/3/2024 12:54,TX,1,3,1,1,4,1,3,4
128764642,4/3/2024 12:55,LA,4,1,3,2,2,1,3,3
128764701,4/3/2024 12:56,SC,2,3,1,1,1,1,3,2
128764741,4/3/2024 12:56,,2,3,3,2,4,3,2,3
128765042,4/3/2024 12:58,OH,2,3,1,1,1,1,3,4
